year,open_usd,close_usd,annual_return_pct,notes
2006,36.2,34.5,-4.7,
2007,34.5,33.1,-4.05,
2008,33.1,13.9,-58.0,
2009,13.9,27.5,97.84,
2010,27.5,34.2,24.36,
2011,34.2,31.5,-7.89,
2012,31.5,38.35,21.75,
2013,38.35,44.41,15.8,
2014,44.41,55.45,24.86,
2015,55.45,53.64,-3.26,
2016,53.64,72.03,34.28,
2017,72.03,105.77,46.84,
2018,105.77,87.14,-17.61,
2019,87.89,143.41,64.57,
2020,142.0,219.52,53.07,
2021,221.43,309.81,41.13,
2022,309.83,201.75,-34.88,
2023,106.84,175.75,74.23,
2024,175.76,236.74,34.7,
2025,240.24,360.13,52.12,
2026,368.96,403.25,11.97,YTD
